,flux,z,f,enz,met_concentration,reaction,gpr
ATPS4rpp,52.0980456702132,1.0,-9999.0,0.0003835086923665696,;h2o_c : 1.0;pi_c : 4.999999992620972e-07;atp_c : 5.411968104158758e-05;adp_c : 5.411968104158752e-06;h_p : 1.0;h_c : 1.0,adp_c + 4.0 h_p + pi_c --> atp_c + h2o_c + 3.0 h_c,( b3734 and b3733 and b3731 and b3735 and b3732 and b3739 and b3737 and b3738 and b3736 ) or ( b3732 and b3735 and b3731 and b3733 and b3734 and b3737 and b3738 and b3736 )
EX_h2o_e,36.67937385400288,1.0,-9999.0,-9999.0,;h2o_e : 1.0,h2o_e --> ,
H2Otex_reverse,36.67937385400288,1.0,-9999.0,-9999.0,;h2o_e : 1.0;h2o_p : 1.0,h2o_p --> h2o_e,b1377 or b2215 or b1319 or b3875 or s0001 or b0957 or b0241 or b0929
H2Otpp_reverse,36.679373854001675,1.0,-9999.0,-9999.0,;h2o_c : 1.0;h2o_p : 1.0,h2o_c --> h2o_p,s0001 or b0875
CYTBO3_4pp,32.974151203760684,1.0,-9999.0,0.0013732674910746062,;h2o_c : 1.0;q8h2_c : 4.999999992621096e-07;o2_c : 4.999999992621096e-07;q8_c : 4.999999992621096e-07;h_c : 1.0;h_p : 1.0,4.0 h_c + 0.5 o2_c + q8h2_c --> h2o_c + 4.0 h_p + q8_c,b0429 and b0432 and b0431 and b0430
NADH16pp,31.32872505607355,1.0,-9999.0,0.0013253018728508884,;nadh_c : 0.0007084583731630467;q8h2_c : 4.999999992621096e-07;nad_c : 0.007084583731630468;h_p : 1.0;q8_c : 4.999999992621096e-07;h_c : 1.0,4.0 h_c + nadh_c + q8_c --> 3.0 h_p + nad_c + q8h2_c,b2280 and b2281 and b2287 and b2288 and b2282 and b2277 and b2279 and b2284 and b2278 and b2276 and b2283 and b2286 and b2285
CO2tpp_reverse,17.999402381641602,1.0,-9999.0,-9999.0,;co2_c : 9.9999999997618e-05;co2_p : 1.0,co2_c --> co2_p,s0001
EX_co2_e,17.999402381641602,1.0,-9999.0,-9999.0,;co2_e : 1.0,co2_e --> ,
CO2tex_reverse,17.999402381641602,1.0,-9999.0,-9999.0,;co2_e : 1.0;co2_p : 1.0,co2_p --> co2_e,b1377 or b0241 or b0929 or b2215
GAPD,16.83722158605249,1.0,-14.57128001843506,0.00012056812842285505,;nadh_c : 0.0007084583731630467;pi_c : 4.999999992620972e-07;nad_c : 0.007084583731630468;g3p_c : 0.0019372800476507063;13dpg_c : 4.999999992621096e-07;h_c : 1.0,g3p_c + nad_c + pi_c --> 13dpg_c + h_c + nadh_c,b1779
