,max_Df under fixed Ci ratio,min_Df under fixed Ci ratio,diff under fixed Ci ratio
13PPDH2,54.567087936396646,-0.09035402673336179,54.65744196313001
13PPDH2_reverse,0.09035402673336179,-54.567087936396646,54.65744196313001
2DDARAA,50.346549293025014,-31.639613651670004,81.98616294469502
2DDARAA_reverse,31.639613651670004,-50.346549293025014,81.98616294469502
2DGULRGx,39.59035402673335,-15.067087936396657,54.65744196313001
2DGULRGy,52.46708793639665,-2.1903540267333668,54.65744196313002
2DGULRx,34.890354026733355,-19.767087936396656,54.65744196313001
2DGULRy,47.76708793639665,-6.8903540267333625,54.65744196313001
2DOXG6PP,78.646549293025,-3.339613651670007,81.98616294469501
2MAHMP,87.04654929302501,5.060386348329992,81.98616294469502
3AMACHYD,100.44654929302502,18.460386348329997,81.98616294469502
3HBZCT,91.146549293025,9.160386348329993,81.98616294469501
3HCINNMH,437.92451278714435,367.81508375214327,70.10942903500109
3HPPPNH,437.92451278714435,367.81508375214327,70.10942903500109
3HPADHi,86.76708793639665,32.10964597326664,54.65744196313001
3KGK,50.36708793639665,-4.290354026733361,54.65744196313001
3OXCOAT,84.35744196313001,-24.95744196313001,109.31488392626002
3SLAR,50.390354026733355,-4.267087936396656,54.65744196313001
4HTHRA,62.84654929302502,-19.139613651670004,81.98616294469502
4HTHRA_reverse,19.139613651670004,-62.84654929302502,81.98616294469502
4HTHRK,48.06708793639665,-6.590354026733362,54.65744196313001
5DGLCNR,56.76708793639665,2.1096459732666375,54.65744196313001
5DKGR,55.767087936396656,1.1096459732666446,54.65744196313001
5DKGR_reverse,-1.1096459732666446,-55.767087936396656,54.65744196313001
5DOAN,75.44654929302502,-6.539613651670006,81.98616294469502
6D6SFK,51.26708793639665,-3.3903540267333625,54.65744196313001
6D6SPA,50.74654929302501,-31.239613651670005,81.98616294469502
A5PISO,29.928720981565007,-24.728720981565004,54.65744196313001
A5PISO_reverse,24.728720981565004,-29.928720981565007,54.65744196313001
AACTOOR,176.49853636489598,51.73166536676498,124.766870998131
