,max_value,min_value,diff
13PPDH2,75.95744196313001,-33.357441963130015,109.31488392626002
13PPDH2_reverse,33.357441963130015,-75.95744196313001,109.31488392626002
2DDARAA,50.346549293025014,-31.639613651670004,81.98616294469502
2DDARAA_reverse,31.639613651670004,-50.346549293025014,81.98616294469502
2DGULRGx,72.85744196313001,-36.45744196313001,109.31488392626002
2DGULRx,68.15744196313001,-41.15744196313001,109.31488392626002
2DGULRGy,73.85744196313001,-35.45744196313001,109.31488392626002
2DGULRy,69.15744196313001,-40.15744196313001,109.31488392626002
2DOXG6PP,78.646549293025,-3.339613651670007,81.98616294469501
2MAHMP,87.04654929302501,5.060386348329992,81.98616294469502
3AMACHYD,100.44654929302502,18.460386348329997,81.98616294469502
3HBZCT,91.146549293025,9.160386348329993,81.98616294469501
3HCINNMH,471.19160072354106,346.4247297254099,124.76687099813114
3HPADHi,108.15744196313,-1.1574419631300117,109.31488392626001
3HPPPNH,471.19160072354106,346.4247297254099,124.76687099813114
3KGK,71.75744196313002,-37.55744196313001,109.31488392626002
3OXCOAT,84.35744196313001,-24.95744196313001,109.31488392626002
3SLAR,83.65744196313001,-25.65744196313001,109.31488392626002
4HTHRA,62.84654929302502,-19.139613651670004,81.98616294469502
4HTHRA_reverse,19.139613651670004,-62.84654929302502,81.98616294469502
4HTHRK,69.45744196313001,-39.857441963130015,109.31488392626002
5DGLCNR,78.15744196313001,-31.15744196313001,109.31488392626002
5DKGR_reverse,32.15744196313001,-77.15744196313001,109.31488392626002
5DKGR,77.15744196313001,-32.15744196313001,109.31488392626002
5DOAN,75.44654929302502,-6.539613651670006,81.98616294469502
6D6SFK,72.65744196313001,-36.65744196313001,109.31488392626002
6D6SPA,50.74654929302501,-31.239613651670005,81.98616294469502
A5PISO,29.928720981565007,-24.728720981565004,54.65744196313001
A5PISO_reverse,24.728720981565004,-29.928720981565007,54.65744196313001
AACTOOR,176.49853636489598,51.73166536676498,124.766870998131
AAMYL,40.028720981565,-14.628720981565007,54.65744196313001
AB6PGH,31.04654929302501,-50.93961365167001,81.98616294469502
ABTA,52.708182338178005,-60.75744196313001,113.46562430130803
ABUTD,107.95744196313001,-1.3574419631300145,109.31488392626002
ACACT1r,28.55744196313001,-80.75744196313002,109.31488392626002
ACACCT,48.95744196313001,-60.357441963130015,109.31488392626002
ACACT1r_reverse,80.75744196313002,-28.55744196313001,109.31488392626002
