,max_E,min_E
NADH16pp,0.024194031741041483,0.024194029977686448
FBA,0.008340911599059276,0.008340911598760988
KARA2,0.004255137509612297,0.004255134892292772
CBPS,0.00571811541739952,0.005718090591768683
GHMT2r,0.00305217587556341,0.003052175875326667
KARA1_reverse,0.004175909066200806,0.004175909066201147
PGM_reverse,0.0018635820091892985,0.0018635820091340027
GND,0.002277165613634656,0.002277165613072464
CYTBO3_4pp,0.002356741529747299,0.0023567415296723744
AKGDH,0.0014947328009157564,0.0014947328004473114
ATPS4rpp,0.0018572655256465693,0.0018572655256161716
ENO,0.001748554344930782,0.0017485499110841015
GLCptspp,0.001754386262840627,0.0017543859648761454
PSERT,0.0016195663256174362,0.0016195663255083816
IMPD,0.0014281315731456596,0.001428131572409238
ASAD_reverse,0.001379618779227692,0.0013796187791417335
THRS,0.0013022555595235733,0.001302255559452392
GAPD,0.0014402239615968224,0.0014402231937783538
