id	lnClb	lnCub
2pg_c	-14.50865774	-3.912023005
13dpg_c	-14.50865774	-3.912023005
prbamp_c	-14.50865774	-3.912023005
grdp_c	-14.50865774	-3.912023005
dms_e	0	0
fpram_c	-14.50865774	-3.912023005
dcyt_p	0	0
fum_p	0	0
tyr__L_p	0	0
feenter_e	0	0
gg4abut_c	-14.50865774	-3.912023005
arbtn_e	0	0
aso3_c	-14.50865774	-3.912023005
cpgn_un_e	0	0
alaala_e	0	0
3ohexACP_c	-14.50865774	-3.912023005
3ocddec5eACP_c	-14.50865774	-3.912023005
clpn120_p	0	0
apg141_c	-14.50865774	-3.912023005
dca_c	-14.50865774	-3.912023005
dkdglcn_c	-14.50865774	-3.912023005
chtbs_p	0	0
fusa_p	0	0
metglcur_c	-14.50865774	-3.912023005
pep_c	-14.50865774	-3.912023005
h_c	0	0
rib__D_c	-14.50865774	-3.912023005
2dr1p_c	-14.50865774	-3.912023005
gthrd_c	-14.50865774	-3.912023005
ala__L_e	0	0
actACP_c	-14.50865774	-3.912023005
actp_c	-14.50865774	-3.912023005
2pglyc_c	-14.50865774	-3.912023005
g3pc_c	-14.50865774	-3.912023005
dmbzid_c	-14.50865774	-3.912023005
xtp_c	-14.50865774	-3.912023005
cd2_c	-14.50865774	-3.912023005
tcynt_p	0	0
acanth_c	-14.50865774	-3.912023005
so2_p	0	0
mn2_c	-14.50865774	-3.912023005
pa181_c	-14.50865774	-3.912023005
2agpg181_p	0	0
tdecoa_c	-14.50865774	-3.912023005
thym_p	0	0
mocogdp_c	-14.50865774	-3.912023005
octapb_c	-14.50865774	-3.912023005
cysi__L_e	0	0
dhap_c	-14.50865774	-3.912023005
prbatp_c	-14.50865774	-3.912023005
10fthf_c	-14.50865774	-3.912023005
btal_c	-14.50865774	-3.912023005
6pgg_c	-14.50865774	-3.912023005
co2_e	0	0
akg_e	0	0
gsn_e	0	0
pydx5p_c	-14.50865774	-3.912023005
3dhgulnp_c	-14.50865774	-3.912023005
g3ps_c	-14.50865774	-3.912023005
adphep_LD_c	-14.50865774	-3.912023005
lyx__L_c	-14.50865774	-3.912023005
din_p	0	0
malt_p	0	0
pppn_p	0	0
hphhlipa_c	-14.50865774	-3.912023005
phphhlipa_c	-14.50865774	-3.912023005
murein3px4p_p	0	0
1odec11eg3p_c	-14.50865774	-3.912023005
12dgr181_p	0	0
dsbdrd_c	-14.50865774	-3.912023005
sla_c	-14.50865774	-3.912023005
ribflv_p	0	0
cysi__L_c	-14.50865774	-3.912023005
f1p_c	-14.50865774	-3.912023005
thr__L_c	-14.50865774	-3.912023005
2ddglcn_c	-14.50865774	-3.912023005
btn_e	0	0
ocdcea_e	0	0
dtdp4d6dg_c	-14.50865774	-3.912023005
acmum_e	0	0
man_p	0	0
adocbl_e	0	0
frulysp_c	-14.50865774	-3.912023005
dump_p	0	0
eca4und_p	0	0
pa160_c	-14.50865774	-3.912023005
cdpdhdec9eg_c	-14.50865774	-3.912023005
progly_c	-14.50865774	-3.912023005
clpn161_p	0	0
1ddecg3p_p	0	0
ca2_p	0	0
iscssh_c	-14.50865774	-3.912023005
novbcn_p	0	0
rpntp_c	-14.50865774	-3.912023005
gmplys_c	-14.50865774	-3.912023005
r5p_c	-14.50865774	-3.912023005
akg_c	-14.50865774	-2.302585093
ac_c	-14.50865774	-3.912023005
citr__L_c	-14.50865774	-3.912023005
34hpp_c	-14.50865774	-3.912023005
duri_c	-14.50865774	-3.912023005
ala_B_c	-14.50865774	-3.912023005
no2_e	0	0
tag6p__D_c	-14.50865774	-3.912023005
dhpppn_c	-14.50865774	-3.912023005
g6p_e	0	0
hdcea_c	-14.50865774	-3.912023005
acgam6p_c	-14.50865774	-3.912023005
thmpp_c	-14.50865774	-3.912023005
val__L_p	0	0
ppt_p	0	0
pyr_p	0	0
ni2_c	-14.50865774	-3.912023005
peamn_p	0	0
mso3_e	0	0
murein5p5p_p	0	0
thrp_e	0	0
octa_c	-14.50865774	-3.912023005
1odecg3p_p	0	0
LalaLglu_e	0	0
mththf_c	-14.50865774	-3.912023005
sufbcd_2fe2s_c	-14.50865774	-3.912023005
bwco_c	-14.50865774	-3.912023005
f_p	0	0
fru_c	-14.50865774	-3.912023005
glyc3p_c	-14.50865774	-3.912023005
2ahbut_c	-14.50865774	-3.912023005
ser__L_c	-14.50865774	-3.912023005
ump_c	-14.50865774	-3.912023005
4c2me_c	-14.50865774	-3.912023005
ade_e	0	0
rmn_e	0	0
2dhguln_c	-14.50865774	-3.912023005
2ddglcn_e	0	0
glyb_e	0	0
glcr_e	0	0
cyan_c	-14.50865774	-3.912023005
cu2_e	0	0
15dap_p	0	0
ptrc_p	0	0
arbtn_p	0	0
34dhpac_e	0	0
anhgm_e	0	0
cu2_p	0	0
14glucan_p	0	0
pgp141_c	-14.50865774	-3.912023005
dsbard_p	0	0
galctn__L_e	0	0
pydxn_p	0	0
preq0_c	-14.50865774	-3.912023005
iscu_2fe2s_c	-14.50865774	-3.912023005
novbcn_e	0	0
flxr_c	-14.50865774	-3.912023005
lcts_c	-14.50865774	-3.912023005
3ohdcoa_c	-14.50865774	-3.912023005
gln__L_e	0	0
tre_e	0	0
glyald_c	-14.50865774	-3.912023005
g3pg_c	-14.50865774	-3.912023005
adocbl_c	-14.50865774	-3.912023005
idon__L_e	0	0
tcynt_c	-14.50865774	-3.912023005
pheme_e	0	0
3hodcoa_c	-14.50865774	-3.912023005
all__D_e	0	0
ca2_e	0	0
fe2_p	0	0
g1p_e	0	0
udcpdp_p	0	0
ag_e	0	0
pa141_c	-14.50865774	-3.912023005
cdpdddecg_c	-14.50865774	-3.912023005
pe140_p	0	0
2agpg120_c	-14.50865774	-3.912023005
2tdecg3p_p	0	0
2odecg3p_c	-14.50865774	-3.912023005
hdcoa_c	-14.50865774	-3.912023005
o16a4colipa_e	0	0
udcpgl_c	-14.50865774	-3.912023005
mepn_c	-14.50865774	-3.912023005
mepn_p	0	0
