,flux,z,f,enz,met_concentration,reaction,gpr
ATPS4rpp,52.973267018120374,1.0,-9999.0,0.001782932051424778,;h_c : 1.0;h2o_c : 1.0;h_p : 1.0;atp_c : 4.999999992621083e-06;pi_c : 0.012512120276271058;adp_c : 4.999999992621078e-07,adp_c + 4.0 h_p + pi_c --> atp_c + h2o_c + 3.0 h_c,( b3734 and b3733 and b3731 and b3735 and b3732 and b3739 and b3737 and b3738 and b3736 ) or ( b3732 and b3735 and b3731 and b3733 and b3734 and b3737 and b3738 and b3736 )
H2Otpp_reverse,37.072785937915086,1.0,-9999.0,-9999.0,;h2o_p : 1.0;h2o_c : 1.0,h2o_c --> h2o_p,s0001 or b0875
EX_h2o_e,37.072785937915086,1.0,-9999.0,-9999.0,;h2o_e : 1.0,h2o_e --> ,
H2Otex_reverse,37.072785937915086,1.0,-9999.0,-9999.0,;h2o_p : 1.0;h2o_e : 1.0,h2o_p --> h2o_e,b1377 or b2215 or b1319 or b3875 or s0001 or b0957 or b0241 or b0929
CYTBO3_4pp,32.25050308646999,1.0,-9999.0,0.0022615051021378325,;h_c : 1.0;h2o_c : 1.0;h_p : 1.0;q8h2_c : 4.999999992621096e-07;o2_c : 4.999999992621096e-07;q8_c : 1.296565237818592e-05,4.0 h_c + 0.5 o2_c + q8h2_c --> h2o_c + 4.0 h_p + q8_c,b0429 and b0432 and b0431 and b0430
NADH16pp,30.144783906250428,1.0,-9999.0,0.023266533577577648,;h_c : 1.0;nadh_c : 4.999999992621078e-07;h_p : 1.0;nad_c : 4.999999992621083e-06;q8h2_c : 4.999999992621096e-07;q8_c : 1.296565237818592e-05,4.0 h_c + nadh_c + q8_c --> 3.0 h_p + nad_c + q8h2_c,b2280 and b2281 and b2287 and b2288 and b2282 and b2277 and b2279 and b2284 and b2278 and b2276 and b2283 and b2286 and b2285
EX_co2_e,18.26060269773916,1.0,-9999.0,-9999.0,;co2_e : 1.0,co2_e --> ,
CO2tpp_reverse,18.26060269773916,1.0,-9999.0,-9999.0,;co2_p : 1.0;co2_c : 3.5532535700738193e-07,co2_c --> co2_p,s0001
CO2tex_reverse,18.26060269773916,1.0,-9999.0,-9999.0,;co2_p : 1.0;co2_e : 1.0,co2_p --> co2_e,b1377 or b0241 or b0929 or b2215
PGK_reverse,17.125280557864002,1.0,5.994546108771761,0.0011892555942961112,;adp_c : 4.999999992621078e-07;3pg_c : 6.894829301870577e-06;atp_c : 4.999999992621083e-06;13dpg_c : 4.999999992621096e-07,13dpg_c + adp_c --> 3pg_c + atp_c,b2926
GAPD,17.125280557864002,1.0,2.6670869363966343,0.0014446914322576593,;g3p_c : 6.190297872796325e-05;pi_c : 0.012512120276271058;nadh_c : 4.999999992621078e-07;nad_c : 4.999999992621083e-06;h_c : 1.0;13dpg_c : 4.999999992621096e-07,g3p_c + nad_c + pi_c --> 13dpg_c + h_c + nadh_c,b1779
O2tex,16.740512102593488,1.0,-9999.0,-9999.0,;o2_p : 1.0;o2_e : 1.0,o2_e --> o2_p,b1377 or b0241 or b0929 or b2215
O2tpp,16.740512102593488,1.0,-9999.0,-9999.0,;o2_c : 4.999999992621096e-07;o2_p : 1.0,o2_p --> o2_c,s0001
EX_o2_e_reverse,16.740512102593488,1.0,-9999.0,-9999.0,;o2_e : 1.0, --> o2_e,
