,flux,z,f,enz,met_concentration,reaction,gpr
ATPS4rpp,55.676693391900436,1.0,-9999.0,0.0018739218242252882,;h_c : 1.0;h2o_c : 1.0;h_p : 1.0;atp_c : 7.534877424624995e-06;pi_c : 4.999999992620972e-07;adp_c : 7.534877424624987e-07,adp_c + 4.0 h_p + pi_c --> atp_c + h2o_c + 3.0 h_c,( b3734 and b3733 and b3731 and b3735 and b3732 and b3739 and b3737 and b3738 and b3736 ) or ( b3732 and b3735 and b3731 and b3733 and b3734 and b3737 and b3738 and b3736 )
EX_h2o_e,38.97561830846429,1.0,-9999.0,-9999.0,;h2o_e : 1.0,h2o_e --> ,
H2Otex_reverse,38.97561830846429,1.0,-9999.0,-9999.0,;h2o_p : 1.0;h2o_e : 1.0,h2o_p --> h2o_e,b1377 or b2215 or b1319 or b3875 or s0001 or b0957 or b0241 or b0929
H2Otpp_reverse,38.97561830846383,1.0,-9999.0,-9999.0,;h2o_p : 1.0;h2o_c : 1.0,h2o_c --> h2o_p,s0001 or b0875
CYTBO3_4pp,34.1764862508029,1.0,-9999.0,0.0023965610031602804,;h_c : 1.0;h2o_c : 1.0;h_p : 1.0;q8h2_c : 4.999999992621096e-07;o2_c : 4.999999992621096e-07;q8_c : 4.999999992621096e-07,4.0 h_c + 0.5 o2_c + q8h2_c --> h2o_c + 4.0 h_p + q8_c,b0429 and b0432 and b0431 and b0430
NADH16pp,31.29418840370492,1.0,-9999.0,0.02415367406653961,;h_c : 1.0;nadh_c : 0.0008939540152529535;h_p : 1.0;nad_c : 0.008939540152529537;q8h2_c : 4.999999992621096e-07;q8_c : 4.999999992621096e-07,4.0 h_c + nadh_c + q8_c --> 3.0 h_p + nad_c + q8h2_c,b2280 and b2281 and b2287 and b2288 and b2282 and b2277 and b2279 and b2284 and b2278 and b2276 and b2283 and b2286 and b2285
EX_co2_e,19.319399832706893,1.0,-9999.0,-9999.0,;co2_e : 1.0,co2_e --> ,
CO2tex_reverse,19.319399832706893,1.0,-9999.0,-9999.0,;co2_p : 1.0;co2_e : 1.0,co2_p --> co2_e,b1377 or b0241 or b0929 or b2215
CO2tpp_reverse,19.319399832706893,1.0,-9999.0,-9999.0,;co2_p : 1.0;co2_c : 9.999999999761782e-05,co2_c --> co2_p,s0001
O2tpp,17.731108220848853,1.0,-9999.0,-9999.0,;o2_c : 4.999999992621096e-07;o2_p : 1.0,o2_p --> o2_c,s0001
O2tex,17.731108220848853,1.0,-9999.0,-9999.0,;o2_p : 1.0;o2_e : 1.0,o2_e --> o2_p,b1377 or b0241 or b0929 or b2215
EX_o2_e_reverse,17.731108220848853,1.0,-9999.0,-9999.0,;o2_e : 1.0, --> o2_e,
PGK_reverse,17.109985965790923,1.0,-6.211128720814354,0.001188193469846592,;adp_c : 7.534877424624987e-07;3pg_c : 0.0007832781405536207;atp_c : 7.534877424624995e-06;13dpg_c : 4.999999992621096e-07,13dpg_c + adp_c --> 3pg_c + atp_c,b2926
GAPD,17.109985965790923,1.0,-9.486380882991341,0.0014434011780014913,;g3p_c : 0.01391462294057237;pi_c : 4.999999992620972e-07;nadh_c : 0.0008939540152529535;nad_c : 0.008939540152529537;h_c : 1.0;13dpg_c : 4.999999992621096e-07,g3p_c + nad_c + pi_c --> 13dpg_c + h_c + nadh_c,b1779
ENO,15.829687294940447,1.0,-1.1304216674090402,0.0017456627377197508,;2pg_c : 0.00010306981345613486;h2o_c : 1.0;pep_c : 0.0007832781405536207,2pg_c --> h2o_c + pep_c,b2779
