,max_Df_complete
ASPK,14.867087936396654
FUM,18.653468819388163
SERA,56.70818233817802
MDH,5.767087936396653
TKT1,58.45744196313001
PRPPS,32.90708793639665
TPI,21.828720981565006
ACLS,70.39308247213273
MTHFD,13.390354026733363
CBMKr,-9.486379882991347
GAPD,18.7779806065017
FBA,44.74654929302501
IPPMIa_reverse,21.753468819388136
IPMD,15.467087936396672
DHQTi,32.628720981565
DAPE,29.02872098156501
ACACT3r,21.95744196313001
ACACT2r,19.55744196313001
ACACT1r,28.55744196313001
ACACT5r,21.95744196313001
ACACT4r,22.15744196313001
DHORTS_reverse,20.828720981565006
ACGK,2.6670879363966513
ACACT6r,22.15744196313001
ACACT7r,22.15744196313001
GLU5K,6.467087936396652
CTECOAI7_reverse,27.328720981565006
PGAMT_reverse,24.228720981565004
FLDR2,44.995808917961654
PDX5PO2,10.767087936396653
