,max_E,min_E
FBA,0.008399535593897133,0.008399532656142222
NADH16pp,0.024153674066547098,0.024153674066305027
KARA2,0.004330632828272636,0.004330630195935064
SHGO,0.0026388462201713788,0.00263884621965688
GHMT2r,0.0031063280821787675,0.0031063216197463107
KARA1_reverse,0.0042499987321963474,0.004249998732196353
CYTBO3_4pp,0.0023965610032101103,0.0023965610031611954
GND,0.0021428583336469665,0.002142801878405424
SERA,0.0019817024284140405,0.0019817024280279006
AKGDH,0.0019503713629260761,0.0019503713615826859
ATPS4rpp,0.0018739218242497982,0.0018739213947283125
GLCptspp,0.0017543863036967777,0.0017543859648306613
PGM_reverse,0.0018605001793159076,0.001860500179150763
ENO,0.0017456634002890672,0.0017456627376878579
CS,0.0015804765061863952,0.001580476505835757
PSERT,0.0017046354117749149,0.0017046354114667376
IMPD,0.0014534697186796796,0.0014532743661833554
GAPD,0.0014434019501875807,0.0014434011779760267
THRS,0.0013253603925157086,0.0013253603919358204
ASPTA_reverse,0.0012550659372401831,0.0012550659371361095
ASAD_reverse,0.0014040991013179586,0.0014040962026038626
METAT,0.0012982197091671518,0.0012982197088627257
PRFGS,0.0009356213864187528,0.0009356182816680561
ARGSS,0.0010899072786562458,0.0010899072785820886
PGK_reverse,0.0011881934701826963,0.0011881934698223697
PRPPS,0.0008254385015389131,0.0008254385013946071
ACONT,0.0009707521323450461,0.00097075213210806
THDPS,0.0009552878018488437,0.0009552871348218043
ADSS,0.0008878715959664153,0.0008878656240904109
SUCDi,0.0008903350454947757,0.0008903300518374648
ICDHyr,0.0008210464945145577,0.0008210149071915737
IPMD,0.0007512551544960214,0.0007512545335647421
OPMEACPS,0.0007340727367942746,0.0007340727207508665
PRASCSi,0.0007141149047224164,0.0007141149047033487
TALA,0.0006713808787751574,0.0006713766412006654
AICART,0.0006430959581842935,0.0006430959580115721
PGI,0.0005455843252454042,0.0005455843252455337
IMPC_reverse,0.0006430970060057088,0.000643095958011501
IPPS,0.000533754998028802,0.0005337500438606593
GF6PTA,0.0005940454314964826,0.0005940426514565784
RHCCE,0.0005995082725545726,0.0005995082725545713
HACD1,0.0005264579022258468,0.0005264577927523931
HACD4,0.0005295745888408563,0.000529574588822512
HACD3,0.0005156515553195582,0.000515649996438727
HACD2,0.0005230251991681778,0.0005230249030952872
HACD6,0.0005066074754272492,0.0005066074753965912
HACD5,0.0005077535276708598,0.0005077535276276411
GLNS,0.0005054940816477604,0.000505494081576641
AACPS4,0.000505186555793889,0.0005051858141942098
ECOAH4,0.0004905568792528054,0.0004905554153993542
ECOAH1,0.000473156685132701,0.00047315658669357764
GLUDy_reverse,0.00046445159451270654,0.00046445126512223726
AMPMS2,0.0004666848348915199,0.00046668482469200455
ECOAH5,0.00045345084344308603,0.0004534508433988518
ECOAH3,0.0004626855190942042,0.00046268551908252393
HACD7,0.00046421169242080664,0.0004642100161113524
SUCOAS_reverse,0.00044169353612256724,0.00044169177803592906
GMPS,0.00043616636602333603,0.0004361663654597234
GLUTRS,0.00044112925755023056,0.0004411292573676018
GTPCI,0.0004293366480623847,0.0004293366480623515
ECOAH2,0.0004209514854937468,0.00042095125528015344
ECOAH7,0.00043088684709142116,0.0004308868470540432
ECOAH6,0.00043591238758180963,0.00043591036101496095
ADK1,0.00041281845692757067,0.0004128178515439197
NDPK1,0.0004124666328210074,0.000412466632710403
AACPS3,0.0004077054628044843,0.00040767787433726427
ALATA_L_reverse,0.0004033831375646252,0.0004033824992389238
SDPTA_reverse,0.0004068443467424761,0.0004068443467424761
CBMKr,0.00039836193814762655,0.00039836124710087217
MOHMT,0.00039351302565921543,0.00039351302566018
DHORTS_reverse,0.00039053761837621974,0.00039053761837621974
EPMEACPR,0.00038408139259169346,0.0003840813925910108
TKT1,0.00037584897855881023,0.00037583696066440057
EGMEACPR,0.00038408139259169346,0.0003840813925910108
MTHFR2,0.00039129666857133394,0.00039129666854402425
KDOPS,0.00034453801861479,0.0003445380185953856
VALTA_reverse,0.0003389779038846806,0.0003389762367057241
G1SAT,0.0003718675679845286,0.0003718675679845286
PRAIS,0.0003413922554833536,0.0003413922554728753
ILETA_reverse,0.0003357430688748686,0.0003357430686862571
SULR,0.0003351584660369176,0.0003351584659791634
G6PDH2r,0.00032909051945739483,0.00032909051923988946
METS,0.00032734211209474326,0.00032734373279583325
ORPT_reverse,0.00032315477751520866,0.00032315477737720745
OGMEACPD,0.0003201504253086927,0.00032015042530811994
OPMEACPD,0.0003201504253086927,0.00032015042530811994
ADSL2r,0.00031814900285510536,0.0003181482641657172
ADSL1r,0.00031897598624474433,0.00031897384080079895
OPMEACPR,0.0003108581144610906,0.0003108581076806761
3OAR140,0.00031638120968330665,0.00031638120941264485
OGMEACPR,0.000310858114474591,0.0003108581076806761
ACACT3r,0.0003059296352186905,0.000305927809418899
RBFSa,0.00029797974940687914,0.00029797974919119007
CYSTL,0.0002948144715789554,0.00029481447155786514
PTAr,0.0003048045594850265,0.00030480407814770314
ATPPRT,0.00029709088535521304,0.0002970908853228405
ACOTA_reverse,0.00029467639473836136,0.0002946763947378003
NADS1,0.0002886035537164346,0.0002886035533380182
HISTD,0.0002913634059904865,0.00029136340595182575
TRPS1,0.00029091832524425496,0.00029090997838319776
HCO3E,0.00028382955881662295,0.0002838137031684393
ARGSL,0.0002797649960528345,0.00027976499605342556
AACPS7,0.000269259411893838,0.00026925941157013045
ANS,0.00027608205247863524,0.0002760817601054929
ACCOAC,0.00027292564090537476,0.0002729256407542746
CAT,0.00026831646734328375,0.00026831573703239603
ACOAD1fr,0.0002682791917159934,0.0002682762988655088
PFK,0.0002676566874179504,0.00026765649257064287
ASPCT,0.00024364756980828911,0.0002436475697829913
GCALDD,0.00024102141487123931,0.00024102115290375935
ACACT4r,0.00025801675619712414,0.0002580166580840837
ACACT2r,0.00024047576487519072,0.00024047408506149934
TRDR,0.0002374452719474438,0.0002374205737246027
ACACT7r,0.00023248813779433038,0.00023248796364948434
HSTPT,0.00023363666894526855,0.00023363666891866586
PGAMT_reverse,0.00023221125624470201,0.00023221125624470201
ACHBS,0.00023070594352448635,0.0002307058523820938
IPPMIa_reverse,0.00022773813917294973,0.00022773813917294973
PAPSR,0.00022240875009439697,0.00022240632249888803
ACACT5r,0.00022107355283499573,0.00022107337203403944
PPC,0.00022456700769924378,0.00022456572274236352
PANTS,0.0002201708838530057,0.00022017088385313375
DHDPS,0.00021803402927753177,0.00021803385836277077
PRAGSr,0.0002127821094112165,0.0002127814723301379
LEUTAi,0.0002113434205795113,0.00021134324589885893
ACACT6r,0.00020821212658893006,0.00020821075290973102
ICYSDS,0.00020790344796233403,0.00020790017154253578
HISTP,0.00020762662920022703,0.00020762662917658592
IGPDH,0.0002076303101353101,0.00020762662917658592
TYRL,0.00020668915296763235,0.000206689152849157
OGMEACPS,0.000203819753242784,0.00020381975324243668
PDH,0.00020205660061732328,0.00020205610425398814
IPPMIb_reverse,0.00019692341004258991,0.000196922896455358
ACGK,0.0001977440606084786,0.00019774406057342661
ACLS,0.00019307306816747369,0.0001930729854482508
CTPS2,0.00018216960745748686,0.00018216960735497592
NDPK2,0.00018672795179221926,0.000186727951791643
OCBT,0.00017691269342849116,0.00017691269331330316
SHK3Dr,0.00018098442082798593,0.00018098442081036821
PGL,0.00018069131886191438,0.0001806913187392398
PSCVT,0.00017297373980130218,0.00017297255551276648
PPA,0.00016933051043935857,0.00016933023933598452
PYK,0.00016962373066507156,0.00016961804928162225
UMPK,0.0001656975128639439,0.00016569729760829318
ACACT1r,0.00016509927588638263,0.00016509784693797186
3OAS140,0.00016217946850929026,0.00016217946850929026
SADT2,0.00015778827103550132,0.00015778827101274327
DHDPRy,0.00015754280926039016,0.0001575426857641099
PHETA1_reverse,0.0001516252168468039,0.00015162521656459009
TKT2,0.00014892807279824396,0.00014891163675392197
G5SD,0.0001457193774789897,0.00014570475781107233
TYRTA_reverse,0.0001454226117814053,0.00014542261178142538
PPNDH,0.00013761912768153989,0.00013761912765480652
HSST,0.0001421213666056259,0.00014212044854409447
MCOATA,0.00013432808691916527,0.00013432695571578889
ANPRT,0.00013368308260148932,0.0001336792470434672
AIRC3_reverse,0.00012663414010735167,0.00012663347999053063
SHSL1,0.00013222820004142577,0.00013222677583999115
APG3PAT161,0.00012816045030470462,0.00012815403951417753
THRD_L,0.00013358547755552272,0.0001335853861473702
CYSS,0.00012658463237513908,0.0001265846323506283
NDPK3,0.00012030867180185376,0.0001203043870749074
IGPS,0.00011634068683700468,0.0001163373488570149
PRAIi,0.00011634068683700468,0.0001163373488570149
5DOAN,0.00011329930408461103,0.00011329930397591104
IG3PS,0.00010950902551007727,0.00010950902549760819
ACODA,9.961238560948362e-05,9.961238559413061e-05
ACPPAT160,0.00011056315198691228,0.00011056315189937129
ASNS2,9.614311120100345e-05,9.614311110245654e-05
AGPR_reverse,9.162989267364509e-05,9.161656080601778e-05
MECDPS,9.274075709836054e-05,9.274075709833492e-05
SHKK,8.868145489717809e-05,8.868134294550599e-05
GLUPRT,8.578191561601936e-05,8.578184773709418e-05
FUM,8.322974613384061e-05,8.322970046315883e-05
CHORM,8.221151341440987e-05,8.221151340436041e-05
DAPDC,8.191177404249181e-05,8.191077008978856e-05
MTHFC,8.181151632427485e-05,8.181151624483843e-05
MTHFD,8.181151626813109e-05,8.181151623973306e-05
UAGCVT,7.803087668597326e-05,7.803087665894388e-05
AHCYSNS,7.519744998874045e-05,7.519718463283798e-05
DDPA,7.662563701650997e-05,7.662563700946198e-05
CHORS,7.343078983696504e-05,7.343072573100747e-05
OMPDC,7.509422348054539e-05,7.50941576850858e-05
HSDy_reverse,7.231279515856036e-05,7.231279515847858e-05
RBFSb,7.206700720313605e-05,7.206700715097122e-05
GLU5K,7.140492965538799e-05,7.140492960770852e-05
PSD161,7.073883749769547e-05,7.073861159889517e-05
RNTR2c2,6.660102743619653e-05,6.660102700754314e-05
PSD160,7.07662369928554e-05,7.076623697907912e-05
MPTG,7.07529175277788e-05,7.075291750379075e-05
BPNT,6.320907161300003e-05,6.320907160307998e-05
ACPPAT161,6.556748450194565e-05,6.55642046602161e-05
FLDR2,6.169003950823391e-05,6.168799974896208e-05
UAGAAT,6.060832435858751e-05,6.060832435858751e-05
ASPK,6.116982194791476e-05,6.116926295038699e-05
UAGDP,6.0063262564253946e-05,6.006326255297117e-05
G1PACT,6.0063262564253946e-05,6.006326255297117e-05
RNTR3c2,5.783156004066037e-05,5.783155962684769e-05
MDH,5.924211066639013e-05,5.924211065940798e-05
APG3PAT160,5.7269276471696756e-05,5.72688393320372e-05
MCTP1App,5.531422559066204e-05,5.5314225573413314e-05
PPBNGS,5.475333514882022e-05,5.475333512830404e-05
PPND,5.4575009143006426e-05,5.4575009128158195e-05
TMPPP,5.305985045713084e-05,5.3059849288676246e-05
ADSK,5.191764210282997e-05,5.1917642085041844e-05
KDOCT2,5.289865514779055e-05,5.289862866222455e-05
PSSA161,4.561958895515233e-05,4.561938728331498e-05
PRMICI,5.0995345004254456e-05,5.099367327864978e-05
PSSA160,4.644596348931735e-05,4.644596348096131e-05
HSK,4.670948052002523e-05,4.670948049670644e-05
PFL,4.501785884128751e-05,4.50175684700288e-05
CTECOAI7_reverse,4.501117154144052e-05,4.5011171508434394e-05
PPCDC,4.035654667908553e-05,4.0356546678931905e-05
PPNCL2,4.035656238342795e-05,4.035654667894307e-05
RNTR1c2,3.945296622274746e-05,3.9440345790997644e-05
P5CR,4.0199866796902015e-05,4.019986676597084e-05
SERAT,3.947831506344294e-05,3.947736540008084e-05
FADRx,3.91433238285372e-05,3.914327377859623e-05
DHQS,3.9280586483036665e-05,3.92805864793635e-05
ALAALAr,3.8297792833352175e-05,3.829779265591466e-05
GTHOr,3.667814500883848e-05,3.667215879100117e-05
DXPS,3.603215083166226e-05,3.603214995132453e-05
QULNS,3.9155917120356e-05,3.915591712028542e-05
UAAGDS,3.831105966228675e-05,3.8311059649805995e-05
DHQTi,3.668495841578095e-05,3.6684958412350496e-05
CYTK1,3.8588628684192606e-05,3.8588497359044164e-05
G3PD2_reverse,3.074262040767554e-05,3.0742620358240294e-05
UDCPDP,3.068896262970795e-05,3.06889626190775e-05
NNDPR,3.3546110462997406e-05,3.3546109690136315e-05
NDPK6,3.0558876158382236e-05,3.0558875982509716e-05
DHAD2,2.832044024981055e-05,2.8320440248475987e-05
ACKr_reverse,3.0318231968365415e-05,3.0317279627979786e-05
GK1,2.824987062632613e-05,2.8249870626326116e-05
DAPE,2.7582908376647137e-05,2.7582908376601343e-05
DHAD1,2.8207848682863667e-05,2.820783659783957e-05
ASP1DC,2.754068747909154e-05,2.7540685156785573e-05
DHFS,2.7307578830213904e-05,2.7307578830153945e-05
HMBS,2.4013077764271068e-05,2.4013077755363023e-05
AIRC2,2.3724729866829225e-05,2.3724729866204582e-05
FACOAE120,2.338079605359663e-05,2.3380627119425437e-05
FACOAE160,2.3432156231889705e-05,2.3432054742628106e-05
NDPK4,2.36760268233098e-05,2.3568606310541526e-05
DUTPDP,2.381591474238712e-05,2.381534914425885e-05
FACOAE161,2.31222731533101e-05,2.312209260504008e-05
TMDS,2.2284015095897065e-05,2.2283881729656197e-05
UAMAS,2.2007930095258218e-05,2.2007930088307568e-05
PRATPP,2.0261362800502813e-05,2.0261340679785785e-05
DHFR,2.0452428431019533e-05,2.0452428201971273e-05
DHPS2,2.1174167101801974e-05,2.117416710176042e-05
IPDPS,1.997351004320096e-05,1.997302731035346e-05
PRAMPC,2.0261340682189217e-05,2.0261340679785785e-05
DBTS,1.996485633781418e-05,1.9964856337778046e-05
GARFT,1.9220087676324143e-05,1.9220083587968865e-05
TDSK,1.917099337807005e-05,1.9170993376981775e-05
AMAOTr,1.957773530608441e-05,1.9574500383716063e-05
USHD,1.9022298920995505e-05,1.902228939661105e-05
PNTK,1.876688417594618e-05,1.8766883702424526e-05
ACOAD6f_reverse,1.8452651789234712e-05,1.8452070832392776e-05
ACOAD5f_reverse,1.8442158897891234e-05,1.84421438269742e-05
ACOAD4f_reverse,1.8442158897827527e-05,1.8442158897186743e-05
