,max_Df_complete
PTAr,28.37005887616767
GAPD,5.207926730334316
PGK_reverse,5.207926730334158
ACKr_reverse,30.92377019100207
G6PDH2r,23.9124322963995
ENO,5.207926730334307
PGM_reverse,5.207926730334288
HSK,63.54753593978479
THRS,65.61783331146025
PGL,40.57134344991262
ACALD,28.37005887616776
HSDy_reverse,29.517090715287175
PPC,25.119063453666275
GHMT2r_reverse,23.281694700226637
THRA,41.425017445640606
MTHFD_reverse,23.281694700226794
GLUDy_reverse,25.11906345366647
MTHFC_reverse,21.528720981565005
PFL,51.99456722112359
ASAD_reverse,7.786645490789589
ASPTA_reverse,25.1190634536664
HEX1,47.12079925123546
FTHFLi,23.281694700226637
ASPK,7.786645490789475
GND,35.05878455559311
TPI,5.207926730334314
EDA,32.625755041794186
TKT2,30.085706165627133
RPE,25.51911732989553
RPI_reverse,29.258720981565006
EDD,70.42872098156501
TKT1,36.75080425123125
FBA3,24.9178333114603
PFK_3,36.448278535958096
PGI_reverse,23.912432296399505
F6PA,29.525755041794184
