,max_E,min_E
NADH16pp,0.014977103363094893,0.011951035177638509
EDD,0.013374844284715649,0.01337484428470607
HEX1,0.007300465617495506,0.0
PSERT,0.026628714854180623,0.026628714854176703
CYTBO3_4pp,0.0013607219687621667,0.001360721968761441
ENO_reverse,0.00744464012060591,0.007444640120605325
PGM,0.001740313159476802,0.0017403131594748334
PGCD,0.012271055557269827,0.01227105555726614
EDA,0.005025990239897906,0.005025990239896867
G6PDH2r,0.0009982867383033596,0.0009982867383026286
ADK1,0.0021637615386544662,0.00024020503838483623
PPS,0.002413576807610246,0.0024135766203545865
GAPD,0.0008436016142195409,0.0008436016142193684
GLUDy_reverse,0.0014762687686637984,0.0014762687686626797
THRS,0.0007789980149691274,0.0007789980149470776
ATPS4rpp,0.002134710343442133,0.0007051985587537941
PGL,0.0005481219806749777,0.0005481219806745852
POR5_reverse,0.000667471126390719,0.000667471126353455
GLYCL,0.0006809545537184706,0.0006809545536963869
PGK_reverse,0.0006944444444444445,0.0006944444444443015
GLYAT_reverse,0.0002049837206191184,0.0002049834842103045
ASAD_reverse,0.0004201089695114331,0.00042010815077233714
THD2pp,0.0005212883904759833,0.0005212883904752553
FLDR2,0.0002389231630115778,0.0002389231629985885
GHMT2r_reverse,0.00014723847456269795,0.00014723847456098185
THRD,0.00011887060194035446,0.00011887060193979005
ASPTA_reverse,0.00013711829172867565,0.0001371182917229205
PPC,2.426577748526775e-05,2.4265777484736066e-05
ASPK,1.8301990972000354e-05,1.8301990971479388e-05
HSDy_reverse,3.313251350004799e-05,3.3132513499560724e-05
HSK,2.7454111959580047e-05,2.7454111958947777e-05
PSP_L,0.00013145284716013957,0.00013145284716011758
