,flux,z,f,enz,met_concentration,reaction,gpr
THD2pp,26.176470588172833,1.0,-9999.0,0.0012458925854176108,;nadp_c : 0.0020000000008562916;nadph_c : 0.02000000000856292;nad_c : 4.999999992621083e-06;h_c : 1.0;h_p : 1.0;nadh_c : 4.999999992621078e-07,2.0 h_p + nadh_c + nadp_c --> 2.0 h_c + nad_c + nadph_c,b1602 and b1603
EX_nh4_e_reverse,21.02941176470563,1.0,-9999.0,-9999.0,;nh4_e : 1.0, --> nh4_e,
NH4tex,21.02941176470563,1.0,-9999.0,-9999.0,;nh4_p : 1.0;nh4_e : 1.0,nh4_e --> nh4_p,b0241 or b1377 or b2215 or b0929
EX_h_e,21.02941176470563,1.0,-9999.0,-9999.0,;h_e : 1.0,h_e --> ,
Htex_reverse,21.02941176470563,1.0,-9999.0,-9999.0,;h_p : 1.0;h_e : 1.0,h_p --> h_e,b1377 or b0241 or b0929 or b2215
DM_ser__L_c,21.02941176470563,1.0,-9999.0,-9999.0,;ser__L_c : 4.999999992621096e-07,ser__L_c --> ,
GLUDy_reverse,21.02941176470545,1.0,4.520538643371644,0.0015339913883374275,;nadph_c : 0.02000000000856292;glu__L_c : 4.999999992621096e-07;h2o_c : 1.0;h_c : 1.0;akg_c : 4.999999992621096e-07;nadp_c : 0.0020000000008562916;nh4_c : 4.999999992621096e-07,akg_c + h_c + nadph_c + nh4_c --> glu__L_c + h2o_c + nadp_c,b1761 or ( b3213 and b3212 )
NH4tpp,21.02941176470472,1.0,-9999.0,-9999.0,;nh4_p : 1.0;nh4_c : 4.999999992621096e-07,nh4_p --> nh4_c,s0001 or b0451
GAPD,20.0,1.0,-0.6324251843654971,0.0016872032284390819,;h_c : 1.0;g3p_c : 0.001019868068707088;pi_c : 0.020000000008563314;nad_c : 4.999999992621083e-06;nadh_c : 4.999999992621078e-07;13dpg_c : 4.732904177143599e-05,g3p_c + nad_c + pi_c --> 13dpg_c + h_c + nadh_c,b1779
PGK_reverse,20.0,1.0,-0.6324251843656263,0.001388888888888889,;atp_c : 6.120603343766619e-06;3pg_c : 0.008523927805173016;13dpg_c : 4.732904177143599e-05;adp_c : 6.120603343766612e-07,13dpg_c + adp_c --> 3pg_c + atp_c,b2926
PGCD,20.0,1.0,-0.6324251843654451,0.012271055557266618,;3php_c : 4.999999992621096e-07;nad_c : 4.999999992621083e-06;nadh_c : 4.999999992621078e-07;3pg_c : 0.008523927805173016;h_c : 1.0,3pg_c + nad_c --> 3php_c + h_c + nadh_c,b2913
PSP_L,19.999999999999822,1.0,20.28910732989495,0.00013145284716012113,;pi_c : 0.020000000008563314;pser__L_c : 4.999999992621096e-07;h2o_c : 1.0;ser__L_c : 4.999999992621096e-07,h2o_c + pser__L_c --> pi_c + ser__L_c,b4388
PSERT,19.999999999999822,1.0,11.4,0.026628714854177005,;3php_c : 4.999999992621096e-07;pser__L_c : 4.999999992621096e-07;glu__L_c : 4.999999992621096e-07;akg_c : 4.999999992621096e-07,3php_c + glu__L_c --> akg_c + pser__L_c,b0907
EX_h2o_e,17.941176470588744,1.0,-9999.0,-9999.0,;h2o_e : 1.0,h2o_e --> ,
H2Otex_reverse,17.941176470588744,1.0,-9999.0,-9999.0,;h2o_p : 1.0;h2o_e : 1.0,h2o_p --> h2o_e,b1377 or b2215 or b1319 or b3875 or s0001 or b0957 or b0241 or b0929
H2Otpp_reverse,17.941176470580103,1.0,-9999.0,-9999.0,;h2o_p : 1.0;h2o_c : 1.0,h2o_c --> h2o_p,s0001 or b0875
NADH16pp,14.85294117646939,1.0,-9999.0,0.011463888932919386,;q8_c : 3.6071831856696658e-06;nadh_c : 4.999999992621078e-07;q8h2_c : 4.999999992621096e-07;nad_c : 4.999999992621083e-06;h_c : 1.0;h_p : 1.0,4.0 h_c + nadh_c + q8_c --> 3.0 h_p + nad_c + q8h2_c,b2280 and b2281 and b2287 and b2288 and b2282 and b2277 and b2279 and b2284 and b2278 and b2276 and b2283 and b2286 and b2285
CYTBO3_4pp,14.85294117646939,1.0,-9999.0,0.0010415342099401417,;q8_c : 3.6071831856696658e-06;o2_c : 4.999999992621096e-07;h2o_c : 1.0;h_c : 1.0;q8h2_c : 4.999999992621096e-07;h_p : 1.0,4.0 h_c + 0.5 o2_c + q8h2_c --> h2o_c + 4.0 h_p + q8_c,b0429 and b0432 and b0431 and b0430
EX_glc__D_e_reverse,10.0,1.0,-9999.0,-9999.0,;glc__D_e : 1.0, --> glc__D_e,
HEX7,10.0,1.0,23.1118844208446,0.010307266733334755,;f6p_c : 2.922512456551155e-06;atp_c : 6.120603343766619e-06;fru_c : 2.892656107970276e-06;adp_c : 6.120603343766612e-07;h_c : 1.0,atp_c + fru_c --> adp_c + f6p_c + h_c,b0394
FBA,10.0,1.0,-0.6324251843655162,0.01017712690971293,;fdp_c : 0.012537227403233557;dhap_c : 0.006733275494131042;g3p_c : 0.001019868068707088,fdp_c --> dhap_c + g3p_c,b2925 or b2097
GLCt2pp,10.0,1.0,-9999.0,-9999.0,;glc__D_p : 1.0;glc__D_c : 3.555947369424566e-06;h_p : 1.0;h_c : 1.0,glc__D_p + h_p --> glc__D_c + h_c,b2943
GLCtex_copy2,10.0,1.0,-9999.0,-9999.0,;glc__D_p : 1.0;glc__D_e : 1.0,glc__D_e --> glc__D_p,b0241 or b0929 or b1377 or b2215
XYLI2,9.999999999998082,1.0,0.632425184365481,0.013383693638513171,;fru_c : 2.892656107970276e-06;glc__D_c : 3.555947369424566e-06,glc__D_c --> fru_c,b3565
PFK,9.999999999996248,1.0,-0.6324251843654718,0.0003243005595791967,;f6p_c : 2.922512456551155e-06;fdp_c : 0.012537227403233557;atp_c : 6.120603343766619e-06;adp_c : 6.120603343766612e-07;h_c : 1.0,atp_c + f6p_c --> adp_c + fdp_c + h_c,b3916 or b1723
TPI,9.999999999970555,1.0,-0.6324251843656139,1.664925925836501e-05,;dhap_c : 0.006733275494131042;g3p_c : 0.001019868068707088,dhap_c --> g3p_c,b3919
EX_o2_e_reverse,7.426470588235929,1.0,-9999.0,-9999.0,;o2_e : 1.0, --> o2_e,
O2tex,7.426470588235929,1.0,-9999.0,-9999.0,;o2_p : 1.0;o2_e : 1.0,o2_e --> o2_p,b1377 or b0241 or b0929 or b2215
O2tpp,7.426470588233883,1.0,-9999.0,-9999.0,;o2_c : 4.999999992621096e-07;o2_p : 1.0,o2_p --> o2_c,s0001
ATPS4rpp,5.147058823528141,1.0,-9999.0,0.00017323560851736667,;h2o_c : 1.0;adp_c : 6.120603343766612e-07;h_c : 1.0;pi_c : 0.020000000008563314;atp_c : 6.120603343766619e-06;h_p : 1.0,adp_c + 4.0 h_p + pi_c --> atp_c + h2o_c + 3.0 h_c,( b3734 and b3733 and b3731 and b3735 and b3732 and b3739 and b3737 and b3738 and b3736 ) or ( b3732 and b3735 and b3731 and b3733 and b3734 and b3737 and b3738 and b3736 )
CO2tex,3.0882352941168847,1.0,-9999.0,-9999.0,;co2_p : 1.0;co2_e : 1.0,co2_e --> co2_p,b1377 or b0241 or b0929 or b2215
CO2tpp,3.0882352941168847,1.0,-9999.0,-9999.0,;co2_p : 1.0;co2_c : 9.999999999761818e-05,co2_p --> co2_c,s0001
EX_co2_e_reverse,3.0882352941168847,1.0,-9999.0,-9999.0,;co2_e : 1.0, --> co2_e,
FLDR2,2.0588235294112565,1.0,-0.6324251843656175,0.0020659826447813456,;flxso_c : 0.02000000000856292;nadph_c : 0.02000000000856292;h_c : 1.0;flxr_c : 0.0034736547830404195;nadp_c : 0.0020000000008562916,2.0 flxso_c + nadph_c --> 2.0 flxr_c + h_c + nadp_c,( b3924 and b2895 ) or ( b3924 and b0684 )
POR5_reverse,2.0588235294084676,1.0,-0.6324251843656654,0.005771662092660289,;pyr_c : 4.999999992621096e-07;flxr_c : 0.0034736547830404195;h_c : 1.0;accoa_c : 0.002373956248045731;co2_c : 9.999999999761818e-05;flxso_c : 0.02000000000856292;coa_c : 4.999999992621096e-07,accoa_c + co2_c + 2.0 flxr_c + h_c --> coa_c + 2.0 flxso_c + pyr_c,( b1378 and b0684 ) or ( b1378 and b2895 )
