,flux,z,f,enz,met_concentration,reaction,gpr
CYTBO3_4pp,22.113456094561492,1.0,-9999.0,0.0015506639896334597,;q8_c : 0.02000000000856292;o2_c : 4.999999992621096e-07;h2o_c : 1.0;h_c : 1.0;q8h2_c : 5.7602476205392436e-05;h_p : 1.0,4.0 h_c + 0.5 o2_c + q8h2_c --> h2o_c + 4.0 h_p + q8_c,b0429 and b0432 and b0431 and b0430
ATPS4rpp,22.05601854626352,1.0,-9999.0,0.0007423439143275988,;h2o_c : 1.0;adp_c : 4.999999992621078e-07;h_c : 1.0;pi_c : 0.002175120716277306;atp_c : 4.999999992621083e-06;h_p : 1.0,adp_c + 4.0 h_p + pi_c --> atp_c + h2o_c + 3.0 h_c,( b3734 and b3733 and b3731 and b3735 and b3732 and b3739 and b3737 and b3738 and b3736 ) or ( b3732 and b3735 and b3731 and b3733 and b3734 and b3737 and b3738 and b3736 )
H2Otex_reverse,14.014761784605145,1.0,-9999.0,-9999.0,;h2o_p : 1.0;h2o_e : 1.0,h2o_p --> h2o_e,b1377 or b2215 or b1319 or b3875 or s0001 or b0957 or b0241 or b0929
H2Otpp_reverse,14.014761784605145,1.0,-9999.0,-9999.0,;h2o_p : 1.0;h2o_c : 1.0,h2o_c --> h2o_p,s0001 or b0875
EX_h2o_e,14.014761784605145,1.0,-9999.0,-9999.0,;h2o_e : 1.0,h2o_e --> ,
G6PDH2r,14.014761784603209,1.0,9.358227847432893,0.0013990750830047182,;g6p_c : 2.5072686573861728e-05;nadph_c : 0.003531722798737241;nadp_c : 0.000353172279873724;6pgl_c : 4.999999992621078e-07;h_c : 1.0,g6p_c + nadp_c --> 6pgl_c + h_c + nadph_c,b1852
PGL,14.014761784603209,1.0,9.358227847433106,0.0007681798988063124,;6pgl_c : 4.999999992621078e-07;6pgc_c : 0.00013518029039599655;h2o_c : 1.0;h_c : 1.0,6pgl_c + h2o_c --> 6pgc_c + h_c,b0767
MDH2,11.832134949297597,1.0,58.19103177750368,0.016703402980681487,;q8_c : 0.02000000000856292;q8h2_c : 5.7602476205392436e-05;mal__L_c : 4.999999992621096e-07;oaa_c : 3.991742318838101e-05,mal__L_c + q8_c --> oaa_c + q8h2_c,b2210
O2tex,11.056728047280746,1.0,-9999.0,-9999.0,;o2_p : 1.0;o2_e : 1.0,o2_e --> o2_p,b1377 or b0241 or b0929 or b2215
EX_o2_e_reverse,11.056728047280746,1.0,-9999.0,-9999.0,;o2_e : 1.0, --> o2_e,
O2tpp,11.056728047280746,1.0,-9999.0,-9999.0,;o2_c : 4.999999992621096e-07;o2_p : 1.0,o2_p --> o2_c,s0001
PGI_reverse,9.706945662286085,1.0,9.358227847432898,0.000790034953800438,;f6p_c : 0.0003540383433724187;g6p_c : 2.5072686573861728e-05,f6p_c --> g6p_c,b4025
GND,8.098694309956347,1.0,9.358227847432936,0.005264284235966795,;ru5p__D_c : 0.02000000000856292;nadph_c : 0.003531722798737241;nadp_c : 0.000353172279873724;6pgc_c : 0.00013518029039599655;co2_c : 2.333192080576758e-07,6pgc_c + nadp_c --> co2_c + nadph_c + ru5p__D_c,b2029
EX_co2_e,8.098694309956347,1.0,-9999.0,-9999.0,;co2_e : 1.0,co2_e --> ,
