,kcat,MW,kcat_MW
ACKr,2700000,42.4337,63628.67249
ACKr_reverse,6480000,42.4337,152708.814
ACONTa,330983.274,93.4981,3540
ACONTa_reverse,330983.27,93.4981,3539.999957
ACONTb,330983.27,93.4981,3539.999957
ACONTb_reverse,330983.27,93.4981,3539.999957
AKGDH,270000,199.7616,1351.61112
ENO,414000,45.655,9068.010076
ENO_reverse,61326,45.655,1343.248275
FUM,2070000,50.4889,40999.1107
FUM_reverse,20160,50.4889,399.2956868
GAPD,421200,35.5325,11853.93654
GAPD_reverse,132480,35.5325,3728.417646
GLCptspp,807170.331,141.60883,5700
ICDHyr,191520,45.7567,4185.616533
ICDHyr_reverse,30368.82282,45.7567,663.702208
ICL,76984.992,47.5216,1620
MALS,86580,60.2736,1436.449789
MDH,1862628.48,32.3373,57600
MDH_reverse,1675800,32.3373,51822.50837
METS,29720.39764,84.67349755,351
MOX,20485.90056,60.22962,340.1299985
PDH,11630019.69,216.453,53730.00
PFL,204410.7,113.5615,1800
PGI,756000,61.5298,12286.72936
PGI_reverse,756000,61.5298,12286.72936
PGK,4739400,41.1182,115262.8277
PGK_reverse,592102.08,41.1182,14400
POX,502292.3394,62.01139992,8100
PPC,972000,99.06261,9811.976486
PTAr,547821.7643,36.0667,15189.12915
PTAr_reverse,747000,36.0667,20711.62596
PYK,900000,50.7294,17741.1915
RPE,2340000,24.5542,95299.37852
RPE_reverse,2340000,24.5542,95299.37852
RPI,3780000,16.0733,235172.6155
RPI_reverse,3780000,16.0733,235172.6155
SUCOAS,80514,71.1701,1131.289685
SUCOAS_reverse,361800,71.1701,5083.595499
TPI,16200000,26.9718,600627.3219
TPI_reverse,16200000,26.9718,600627.3219
13PPDH2,9783.379271,42.09700006,232.400866
13PPDH2_reverse,10451.44479,42.09699998,248.270537
23PDE2pp,52628.11949,70.83220003,742.997104
23PDE4pp,48310.69378,70.83219996,682.044237
23PDE7pp,57434.65448,70.83219996,810.855155
23PDE9pp,43543.38935,70.83220005,614.740038
2AGPEAT120,17213.08318,80.70000013,213.297189
2AGPEAT140,33704.87601,80.70000003,417.656456
2AGPEAT141,18684.28389,80.70000014,231.527681
2AGPEAT160,83842.72261,80.69999999,1038.943279
2AGPEAT161,16922.37939,80.69999996,209.694912
2AGPEAT180,22628.36988,80.69999993,280.401114
2AGPEAT181,21320.30109,80.69999997,264.192083
2AGPGAT120,17444.69856,80.70000015,216.167268
2AGPGAT140,26004.84427,80.70000003,322.240945
2AGPGAT141,9645.640135,80.69999994,119.524661
2AGPGAT160,9649.160262,80.69999988,119.568281
2AGPGAT161,9645.635293,80.69999994,119.524601
2AGPGAT180,9737.355798,80.7000002,120.661162
2AGPGAT181,25994.16807,80.70000005,322.10865
2DDARAA,28422.21991,32.52999998,873.72333
2DDARAA_reverse,9688.408474,32.53000002,297.829956
2DGULRGx,17496.28312,35.39549998,494.308122
2DGULRGy,9611.080776,35.3955,271.533974
2DGULRx,20094.4938,35.39549998,567.713235
2DGULRy,19562.41623,35.3955,552.680884
2DOXG6PP,9865.296,23.007,428.79541
2HESR,27159.73869,24.51600001,1107.837277
2HPTCOAT,50248.12219,21.325,2356.301158
2MAHMP,10170.48834,17.4329,583.407714
3AMACHYD,21702.14096,28.89809998,750.988507
3HAD100,9300.031517,17.03299999,546.000794
3HAD120,9300.045229,17.03299999,546.001599
3HAD121,9300.039797,17.03299999,546.00128
3HAD140,9689.000825,17.033,568.837012
3HAD141,9300.023712,17.03300001,546.000335
3HAD160,9300.049708,17.03299999,546.001862
3HAD161,9300.028072,17.03300001,546.000591
3HAD180,9449.861839,17.03300001,554.797266
3HAD181,16748.6226,17.033,983.304327
3HAD40,13622.60957,17.03299999,799.777466
3HAD60,35394.22481,17.033,2077.979499
3HAD80,9300.030919,17.03300001,546.000758
3HBZCT,29600.99634,14.97,1977.354465
3HCINNMH,13931.45469,62.18570013,224.029876
3HPADHi,29369.09112,53.41860004,549.791479
3HPPPNH,16534.68041,62.18570006,265.892004
3KGK,46839.28669,55.1548,849.233189
3NTD2pp,44836.48256,49.43860002,906.912464
3NTD4pp,46917.55912,49.43859999,949.006629
3NTD7pp,55966.42332,49.43860001,1132.039
3NTD9pp,39469.58003,49.43859997,798.355537
3OAR100,9300.038342,25.56029999,363.846995
3OAR100_reverse,21350.28,25.56029999,835.290666
3OAR120,9300.029854,25.56029998,363.846663
3OAR120_reverse,168004.9209,25.5603,6572.88533
3OAR121,9300.02693,25.56030003,363.846548
3OAR140,4680,25.56029993,183.096443
3OAR140_reverse,10447.04323,25.56029998,408.721464
3OAR141,9300.034418,25.56030002,363.846841
3OAR160,9300.030959,25.5603,363.846706
3OAR160_reverse,15760.16442,25.56030001,616.587615
3OAR161,9300.055921,25.56029997,363.847683
3OAR180,9346.605887,25.56029999,365.668865
3OAR180_reverse,11764.09956,25.56030002,460.248884
3OAR181,16993.44901,25.56029999,664.83762
3OAR40,11866.89778,25.56029999,464.270677
3OAR40_reverse,15479.59285,25.56029998,605.610766
3OAR60,14676.62331,25.56029998,574.196051
3OAR60_reverse,16171.49843,25.56030001,632.680306
3OAR80,9300.033619,25.5603,363.84681
3OAR80_reverse,41062.49348,25.5603,1606.494974
3OAS100,9300.069292,42.61329995,218.243349
3OAS120,9300.044909,42.61329991,218.242777
3OAS121,9300.067402,42.61330007,218.243304
3OAS140,15220.88429,42.61330005,357.186237
3OAS141,9300.05716,42.6133,218.243064
3OAS160,9300.048851,42.61330001,218.242869
3OAS161,9300.049776,42.61329995,218.242891
3OAS180,16822.95266,42.61329995,394.781739
3OAS181,13204.15682,43.04579993,306.746694
3OAS60,14210.82631,42.61330005,333.483356
3OAS80,9300.057325,42.61329998,218.243068
3OXCOAT,24123.2729,42.27650003,570.607143
3PEPTabcpp,26082.63514,200.7513,129.925112
3SLAR,32163.07972,31.15810001,1032.254204
42A12BOOXpp,12329.96585,84.37869981,146.126521
4ABZGLUH,9451.478628,98.78199975,95.680171
4ABZGLUH_reverse,31226.50825,98.7819999,316.115368
4HTHRA,168654.009,36.4947,4621.328823
4HTHRA_reverse,16492.0015,36.49470001,451.901276
4HTHRK,25833.20273,33.6236,768.305676
4PCP,27706.1783,33.56750001,825.387005
4PCPpp,37289.77556,21.04,1772.327736
4PEPTabcpp,49599.60815,201.7499996,245.846881
5DGLCNR,10326.6768,27.56270002,374.661292
5DKGR,10950.24371,27.07000001,404.515837
5DKGR_reverse,23521.17739,27.07000001,868.902009
5DOAN,36,24.35399341,1.478197
6D6SFK,24036.90232,31.72799999,757.592736
6D6SPA,39442.55994,31.98300001,1233.235154
A5PISO,55549.16712,34.03139999,1632.291564
A5PISO_reverse,33180.19039,34.0314,974.987523
AACPS1,9300.085484,89.33949969,104.098249
AACPS2,9300.082612,89.33950042,104.098216
AACPS3,20818.49733,89.33949991,233.026795
AACPS4,19801.47101,89.33949984,221.642958
AACPS5,9300.08354,89.33949989,104.098227
AACPS6,16920.24286,89.33949996,189.39263
AACPS7,19220.43512,89.33950019,215.139273
AACPS8,19300.13799,89.33950007,216.031408
AACPS9,9300.081582,89.33949997,104.098205
AADDGT,231887.7737,40.6396,5705.956104
AAMYL,23490.41652,56.63940007,414.736323
AAMYLpp,49598.11858,75.71270004,655.08321
AB6PGH,42497.06141,53.16100002,799.402972
ABTA,33853.97349,44.72909997,756.866861
ABUTD,38704.04507,50.83000001,761.440981
ACACCT,27123.73889,46.48589999,583.48314
ACACT1r,64745.49694,40.35249999,1604.497787
ACACT1r_reverse,49056.7815,40.35250001,1215.706127
ACACT2r,45028.02067,40.87620002,1101.570612
ACACT2r_reverse,48623.593,40.87620001,1189.533102
ACACT3r,35394.18648,40.87619998,865.887399
ACACT3r_reverse,36960.01261,40.87619999,904.193947
ACACT4r,41966.54604,40.87620002,1026.674349
ACACT4r_reverse,34554.87723,40.87619999,845.354442
ACACT5r,48979.49998,40.87620001,1198.240051
ACACT5r_reverse,35501.71811,40.87619998,868.518065
ACACT6r,40632.79266,40.87620001,994.045255
ACACT6r_reverse,29980.30132,40.8762,733.441497
ACACT7r,36389.7463,40.8762,890.242887
ACACT7r_reverse,26653.29045,40.87620001,652.049125
ACACT8r,23737.87625,40.8762,580.726101
ACACT8r_reverse,30393.77583,40.87620002,743.556784
ACALD,347838.2822,33.4425,10401.08491
ACALD_reverse,142688.5307,33.4425,4266.682536
ACANTHAT,14042.58626,32.27460002,435.097143
ACBIPGT,9379.708193,20.16400002,465.171007
ACCOAC,28564.88644,134.5713997,212.265656
ACCOAL,16156.30072,69.351,232.964207
ACGAMK,21792.22839,33.0427,659.517182
ACGAMT,10386.84518,40.95719992,253.602424
ACGK,30240,27.15950001,1113.422559
ACGS,820800,49.1952,16684.55459
ACHBS,67064.87156,71.54629998,937.36324
ACLS,241177.3205,71.5463,3370.926526
ACM6PH,12910.85677,31.21989999,413.545744
ACMAMUT,20034.19254,27.92820002,717.346357
ACNML,22534.19094,32.5935,691.370701
ACOAD1f,434993.0386,89.22439999,4875.269978
ACOAD1fr,42460.6505,43.00200001,987.411062
ACOAD2f,426233.6705,89.2244,4777.097638
ACOAD2f_reverse,1281600,89.2244,14363.7839
ACOAD3f,374885.7826,89.2244,4201.606092
ACOAD3f_reverse,1281600,89.2244,14363.7839
ACOAD4f,185797.065,89.22440001,2082.357124
ACOAD4f_reverse,1281600,89.2244,14363.7839
ACOAD5f,223003.5589,89.22439999,2499.356218
ACOAD5f_reverse,1281600,89.2244,14363.7839
ACOAD6f,208640.9014,89.22439999,2338.383911
ACOAD6f_reverse,1000800,89.2244,11216.66271
ACOAD7f,168849.2482,89.22440002,1892.411136
ACOAD7f_reverse,460800,89.2244,5164.50657
ACOAD8f,76148.30066,89.22439995,853.447047
ACOAD8f_reverse,323145.3704,89.22439999,3621.715253
ACOATA,32149.38905,42.15459998,762.65435
ACOATA_reverse,9801.989935,42.1546,232.5248
ACODA,93600,42.3473,2210.294399
ACONMT,176845.203,29.006,6096.849031
ACOTA,17996.38411,43.66540001,412.142889
ACOTA_reverse,32625.37856,43.66540003,747.167747
ACOXT,16076.64152,41.67100004,385.799273
ACOXT_reverse,10077.21241,41.67099995,241.827948
ACP1_FMN,23467.23572,27.12199999,865.247243
ACP1p,17920.62895,49.43859998,362.482533
ACPPAT120,14929.35902,46.85400004,318.635741
ACPPAT140,9697.481201,46.8539999,206.972323
ACPPAT141,36607.03398,46.85399998,781.300081
ACPPAT160,20129.32772,46.85399999,429.618127
ACPPAT161,40006.80572,46.85399999,853.861052
ACPPAT180,9699.07613,46.85399999,207.006363
ACPPAT181,14737.83642,46.85399993,314.548095
ACPS1,21613.67893,14.0523,1538.088351
ACS,32028.81133,72.09359994,444.267055
ADA,38158.03206,36.39750002,1048.369587
ADCL,5040,18.7769,268.414914
ADCS,9527.577685,71.7414001,132.804457
ADD,96905.20187,63.73939999,1520.334391
ADK1,111600,23.586,4731.620453
ADK1_reverse,16170.04165,23.586,685.577955
ADK3,10020.99778,23.58599999,424.870592
ADK3_reverse,12279.19346,23.58600001,520.613646
ADK4,9420.738358,23.58600002,399.420773
ADK4_reverse,27584.11545,23.58599999,1169.51223
ADMDC,99039.6036,30.3846,3259.532908
ADNCYC,31838.44056,97.58599999,326.26033
ADNK1,28.8,23.58600662,1.221063
ADNUC,45598.68659,32.5608,1400.416654
ADOCBIK,9323.058784,20.16400001,462.361574
ADOCBLS,10035.97058,26.38559998,380.357869
ADPRDP,13031.08768,21.1532,616.033871
ADPT,10116.3237,19.8589,509.410073
ADSK,79200,22.3213,3548.180438
ADSL1r,36000,51.54279999,698.448668
ADSL1r_reverse,16835.37942,51.54280004,326.62912
ADSL2r,54000,51.54279999,1047.673002
ADSL2r_reverse,15978.08037,51.54279995,309.99636
ADSS,11880,47.345,250.924068
AGDC,112916.4612,40.9491,2757.483344
AGM3PA,24213.93207,20.5362,1179.085326
AGM3PApp,23614.90817,31.072,760.006056
AGM3PH,9954.457142,37.59469997,264.783524
AGM3Pt2pp,14196.18975,53.24519999,266.619146
AGM4PA,20099.44301,20.53619999,978.732337
AGM4PApp,24410.50695,31.072,785.611063
AGM4PCP,46441.37344,33.56750001,1383.521961
AGM4PCPpp,34105.01658,21.04,1620.960864
AGM4PH,9954.435204,37.59470004,264.78294
AGM4Pt2pp,37678.09115,53.24519997,707.633574
AGMH,17554.43253,37.59470001,466.939024
AGMHE,38346.39454,34.89319999,1098.964685
AGMT,34948.09724,33.55699999,1041.454756
AGMt2pp,34185.31625,53.24519997,642.035644
AGPAT120,9300.241951,27.45320004,338.767136
AGPAT140,11008.28694,27.45319998,400.983745
AGPAT141,18651.92002,27.45319999,679.407866
AGPAT160,489600,27.4532,17833.98657
AGPAT161,576000,27.4532,20981.16067
AGPAT180,9300.222929,27.45319997,338.766444
AGPAT181,71164.94731,27.4532,2592.227766
AGPR,27140.71295,35.9521,754.913147
AGPR_reverse,86400,35.9521,2403.197588
AHCYSNS,108,24.3539989,4.43459
AHGDx,23135.45055,44.1758,523.713222
AHGDx_reverse,28540.16407,44.1758,646.058794
AI2K,9941.061582,57.54499988,172.75283
AICART,36000,57.32919997,627.952248
AICART_reverse,30129.89223,57.32920003,525.559265
AIRC2,554400,39.4611,14049.27891
AIRC3,11996.22974,17.7803,674.692201
AIRC3_reverse,46800,17.7803,2632.126567
ALAALAD,21385.38081,21.21300001,1008.126187
ALAALAr,17736.16695,32.83970001,540.083099
ALAALAr_reverse,20079.23664,32.83969998,611.431793
ALAGLUE,73466.26981,34.674,2118.77112
ALAGLUE_reverse,22236.80583,34.67400001,641.31066
ALAR,113967.7232,38.8446,2933.939935
ALAR_reverse,104292.6285,38.84460001,2684.868128
ALATA_D2,9300.506998,36.49469998,254.845416
ALATA_L,63159.7104,45.51739999,1387.594863
ALATA_L_reverse,48870.10901,45.51740001,1073.657744
ALATA_L2,22488.04715,36.49470003,616.200356
ALCD19,66988.94494,35.3796,1893.434209
ALCD19_reverse,147353.7592,35.3796,4164.935703
ALCD2x,65388.1289,35.37960001,1848.187342
ALCD2x_reverse,86341.98017,35.3796,2440.445346
ALDD19xr,24043.86239,53.69909998,447.751683
ALDD19xr_reverse,9300.75871,53.69910001,173.201389
ALDD2y,22093.1682,29.40999998,751.212792
ALDD3y,23752.9732,36.50199998,650.730733
ALKP,10071.37347,20.7798,484.671338
ALLK,23208.86213,33.8209,686.228401
ALLPI,19201.33747,16.0733,1194.610781
ALLPI_reverse,10258.17606,16.0733,638.212194
ALLTAMH2,218031.9588,45.694,4771.566481
ALLTN,150250.7634,49.60159999,3029.151548
ALLULPE,28397.97262,26.10919999,1087.661538
ALLULPE_reverse,110777.1111,26.1092,4242.838199
ALPATE160pp,16171.43159,65.38930006,247.310058
ALPATG160pp,27918.59867,65.38930003,426.959742
ALR2,10013.59023,29.4368,340.172513
ALR2x,36956.8215,36.329,1017.281552
ALR4x,45141.94591,38.71219999,1166.090946
ALTRH,69858.52128,54.0931,1291.449765
AM3PA,9367.161455,20.53619998,456.129248
AM4PA,20712.18859,20.53620001,1008.569676
AM4PCP,54473.38639,33.5675,1622.801412
AMALT1,57278.02975,78.50349999,729.623899
AMALT2,43134.18746,78.5035,549.455597
AMALT3,26398.09512,78.50349994,336.266474
AMALT4,32028.92891,78.50350009,407.993642
AMANAPEr,25940.03066,24.0737,1077.525709
AMANAPEr_reverse,586980.0616,24.0737,24382.62758
