reaction	g0
13PPDH2	-21.3
13PPDH2_reverse	21.3
2DDARAA	14.4
2DDARAA_reverse	-14.4
2DGULRGx	-18.2
2DGULRGy	-19.2
2DGULRx	-13.5
2DGULRy	-14.5
2DOXG6PP	-13.9
2MAHMP	-22.3
3AMACHYD	-35.7
3HBZCT	-26.4
3HCINNMH	-438.5
3HPADHi	-53.5
3HPPPNH	-438.5
3KGK	-17.1
3OXCOAT	-29.7
3SLAR	-29
4HTHRA	1.9
4HTHRA_reverse	-1.9
4HTHRK	-14.8
5DGLCNR	-23.5
5DKGR	-22.5
5DKGR_reverse	22.5
5DOAN	-10.7
6D6SFK	-18
6D6SPA	14
A5PISO	-2.6
A5PISO_reverse	2.6
AACTOOR	-96.3
AAMYL	-12.7
AB6PGH	33.7
ABTA	6.1
ABUTD	-53.3
ACACCT	5.7
ACACT1r	26.1
ACACT1r_reverse	-26.1
ACACT2r	35.1
ACACT2r_reverse	-35.1
ACACT3r	32.7
ACACT3r_reverse	-32.7
ACACT4r	32.5
ACACT4r_reverse	-32.5
ACACT5r	32.7
ACACT5r_reverse	-32.7
ACACT6r	32.5
ACACT6r_reverse	-32.5
ACACT7r	32.5
ACACT7r_reverse	-32.5
ACACT8r	-34.8
ACACT8r_reverse	34.8
ACALD	-19.8
ACALD_reverse	19.8
ACANTHAT	-18.2
ACCOAC	-6
ACCOAL	14.2
ACGAMK	-13.9
ACGAMT	4.54
ACGK	30.6
ACGS	-30.5
ACHBS	-19
ACKr	13.7
ACKr_reverse	-13.7
ACLS	-29.4
ACM6PH	-5.9
ACNML	7.9
ACOAD1f	40
ACOAD1fr	-40
ACOAD2f	45.2
ACOAD2f_reverse	-45.2
ACOAD3f	49.1
ACOAD3f_reverse	-49.1
ACOAD4f	46.3
ACOAD4f_reverse	-46.3
ACOAD5f	49.1
ACOAD5f_reverse	-49.1
ACOAD6f	49.1
ACOAD6f_reverse	-49.1
ACOAD7f	51.3
ACOAD7f_reverse	-51.3
ACOAD8f	46.3
ACOAD8f_reverse	-46.3
ACODA	0.5
ACONIs	3.7
ACONIs_reverse	-3.7
ACONTa	8.3
ACONTa_reverse	-8.3
ACONTb	-0.7
ACONTb_reverse	0.7
ACOTA	-11.8
ACOTA_reverse	11.8
ACOXT	-14.9
ACOXT_reverse	14.9
ACP1_FMN	-30.6
ACS	-6.3
ADA	-20.2
ADCL	-64.1
ADCS	-16.4
ADD	-19.3
ADK1	-1.7
ADK1_reverse	1.7
ADK3	-0.08
ADK3_reverse	0.08
ADK4	-6.28
ADK4_reverse	6.28
ADMDC	-19.4
ADNCYC	5.1
ADNK1	-14.7
ADNUC	-4.8
ADPRDP	-22.2
ADPT	-18.9
ADSK	-16.3
ADSL1r	10.2
ADSL1r_reverse	-10.2
ADSL2r	12.3
ADSL2r_reverse	-12.3
ADSS	6.5
AGDC	-7.6
AGM3PH	-13.8
